"","crimeDate","temp","Theft"
"892","2021-06-10",77.3,0.352040816326531
"893","2021-06-11",81.2,0.469387755102041
"894","2021-06-12",79.9,0.494897959183673
"895","2021-06-13",77.9,0.418367346938776
"896","2021-06-14",75.3,0.464285714285714
"897","2021-06-15",70.5,0.306122448979592
"898","2021-06-16",67.1,0.311224489795918
"899","2021-06-17",71.5,0.36734693877551
"900","2021-06-18",80.9,0.443877551020408
"901","2021-06-19",79.5,0.428571428571429
"902","2021-06-20",72.3,0.341836734693878
"903","2021-06-21",69.8,0.372448979591837
"904","2021-06-22",62.9,0.357142857142857
"905","2021-06-23",68.9,0.352040816326531
"906","2021-06-24",71.9,0.392857142857143
"907","2021-06-25",72,0.229591836734694
"908","2021-06-26",75,0.51530612244898
"909","2021-06-27",76.5,0.505102040816326
"910","2021-06-28",71.9,0.474489795918367
"911","2021-06-29",76.2,0.36734693877551
"912","2021-06-30",76.8,0.362244897959184
"913","2021-07-01",71.3,0.525510204081633
"914","2021-07-02",64.8,0.48469387755102
"915","2021-07-03",70.4,0.331632653061224
"916","2021-07-04",79.1,0.352040816326531
"917","2021-07-05",81.6,0.362244897959184
"918","2021-07-06",83.4,0.387755102040816
"919","2021-07-07",80.5,0.36734693877551
"920","2021-07-08",66.7,0.443877551020408
"921","2021-07-09",66.4,0.443877551020408
"922","2021-07-10",69.3,0.438775510204082
"923","2021-07-11",67.8,0.23469387755102
"924","2021-07-12",69.7,0.408163265306122
"925","2021-07-13",71.1,0.505102040816326
"926","2021-07-14",76.3,0.341836734693878
"927","2021-07-15",75.4,0.372448979591837
"928","2021-07-16",68.9,0.464285714285714
"929","2021-07-17",70.6,0.428571428571429
"930","2021-07-18",72.7,0.295918367346939
"931","2021-07-19",73.4,0.403061224489796
"932","2021-07-20",76.2,0.433673469387755
"933","2021-07-21",69.6,0.418367346938776
"934","2021-07-22",72.2,0.510204081632653
"935","2021-07-23",80.5,0.489795918367347
"936","2021-07-24",82,0.428571428571429
"937","2021-07-25",81.5,0.38265306122449
"938","2021-07-26",81.6,0.397959183673469
"939","2021-07-27",80.2,0.413265306122449
"940","2021-07-28",81,0.36734693877551
"941","2021-07-29",81.7,0.831632653061224
"942","2021-07-30",70.3,0.923469387755102
"943","2021-07-31",69.4,1
"944","2021-08-01",71.8,0.714285714285714
"945","2021-08-02",68.7,0.377551020408163
"946","2021-08-03",71.6,0.316326530612245
"947","2021-08-04",74.8,0.403061224489796
"948","2021-08-05",76,0.408163265306122
"949","2021-08-06",77,0.362244897959184
"950","2021-08-07",76.2,0.489795918367347
"951","2021-08-08",82.8,0.362244897959184
"952","2021-08-09",74.6,0.408163265306122
"953","2021-08-10",81,0.306122448979592
"954","2021-08-11",77.8,0.413265306122449
"955","2021-08-12",80.1,0.408163265306122
"956","2021-08-13",75.9,0.454081632653061
"957","2021-08-14",72.9,0.428571428571429
"958","2021-08-15",70.6,0.316326530612245
"959","2021-08-16",72.3,0.438775510204082
"960","2021-08-17",74.2,0.387755102040816
"961","2021-08-18",77.2,0.38265306122449
"962","2021-08-19",79.2,0.510204081632653
"963","2021-08-20",79.8,0.551020408163265
"964","2021-08-21",79.7,0.540816326530612
"965","2021-08-22",76.3,0.505102040816326
"966","2021-08-23",75.1,0.438775510204082
"967","2021-08-24",82.5,0.423469387755102
"968","2021-08-25",78.7,0.494897959183673
"969","2021-08-26",77.4,0.5
"970","2021-08-27",80.7,0.566326530612245
"971","2021-08-28",83.6,0.530612244897959
"972","2021-08-29",81.5,0.387755102040816
"973","2021-08-30",76.2,0.418367346938776
"974","2021-08-31",74.7,0.530612244897959
"975","2021-09-01",73.2,0.51530612244898
"976","2021-09-02",69.5,0.306122448979592
"977","2021-09-03",69.7,0.571428571428571
"978","2021-09-04",70.1,0.535714285714286
"979","2021-09-05",69.5,0.5
"980","2021-09-06",72,0.387755102040816
"981","2021-09-07",72.3,0.352040816326531
"982","2021-09-08",69.7,0.433673469387755
"983","2021-09-09",66.9,0.418367346938776
"984","2021-09-10",68.5,0.556122448979592
"985","2021-09-11",73.6,0.428571428571429
"986","2021-09-12",78.8,0.413265306122449
"987","2021-09-13",74.6,0.505102040816326
"988","2021-09-14",77.1,0.38265306122449
"989","2021-09-15",68.4,0.586734693877551
"990","2021-09-16",68.7,0.540816326530612
"991","2021-09-17",74.8,0.459183673469388
"992","2021-09-18",71.4,0.474489795918367
"993","2021-09-19",73.6,0.459183673469388
"994","2021-09-20",75.7,0.443877551020408
"995","2021-09-21",69,0.556122448979592
"996","2021-09-22",59.7,0.494897959183673
"997","2021-09-23",58,0.61734693877551
"998","2021-09-24",62.7,0.505102040816326
"999","2021-09-25",61.4,0.551020408163265
"1000","2021-09-26",66.1,0.352040816326531
"1001","2021-09-27",73.4,0.454081632653061
"1002","2021-09-28",65.9,0.459183673469388
"1003","2021-09-29",67,0.540816326530612
"1004","2021-09-30",68.7,0.494897959183673
"1005","2021-10-01",70.8,0.73469387755102
"1006","2021-10-02",72.7,0.591836734693878
